상호,영업표지,대표자,등록번호,최초등록일,업종
디에스(DS)컴퍼니,감명감자탕,이수일,20213832,2021.11.02,한식
디에스(DS)컴퍼니,오메과메,이수일,20212346,2021.10.01,기타 외식
디에스(DS)컴퍼니,버팔로그릴,이수일,20213196,2021.10.25,기타 외식
디에스(DS)컴퍼니,맵스쭈꾸미&피자,이수일,20213195,2021.10.25,피자
디에스(DS)컴퍼니,에그네스브런치,이수일,20213835,2021.11.02,서양식
디에스(DS)컴퍼니,전국홍게자랑,이수일,20213833,2021.11.02,기타 외식
오네쉬,오네쉬,송주호,20220597,2022.06.28,기타 외식
(주)환공어묵베이커리,홀린닭,윤나라 고경진,20212644,2021.10.13,치킨
에스티컴퍼니(ST.company),몰타,임성진,20201417,2020.10.27,커피
(주)신성마을,피자빙고,정은여,20080100342,2008.08.22,피자
(주)한패,스시벅스,고경한,20211052,2021.04.19,일식
버거타운(Burgertown),버거타운(BURGERTOWN),이지우,20201532,2020.11.13,패스트푸드
(주)인크릭스,탐라담,김용환,20221355,2022.12.08,한식
(주)남도가,남도복국,배동하,20190359,2019.04.17,한식
에이스외식산업(주),큐큐면관,왕학홍,20181042,2018.10.11,중식
(주)발트페이먼츠,블랙라인커피,최영우,20160061,2016.01.18,기타 외식
한량통닭보라본점,전기구이 이한량통닭,이진,20220668,2022.07.15,치킨
농업회사법인우리라이스(주),쌀짜반점,선민수,20215363,2021.11.16,중식
사나래유통,SNS무인분식,정은숙,20212357,2021.10.05,편의점
식감이야기석남점,식감이야기,주현우,20180372,2018.04.18,주점
도움,새우에홀린떡볶이,장진선,20215672,2021.11.18,분식
도움,후라이드바삭킹,장진선,20190016,2019.01.08,치킨
홍고추불닭발본점,홍고추불닭발 RED PEPPER BUL DAK BAL,박준희,20231064,2023.07.24,한식
(주)제이에스에프앤이,스트리트 캠프,유지성,20214475,2021.11.09,서양식
